"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,7(2),Mr.Vikas Kumar,Key Managerial Personnel,Equity Shares,124758,0.08,,16149,1626825,Sell,Equity Shares,108609,0.07,20-Aug-24,22-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169172_1231641_23082024100652_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Rajiv Mehta,Employees/Designated Employees,Equity Shares,23332,0,,6824,18834922,Buy,Equity Shares,30156,0,23-Aug-24,23-Aug-24,23-Aug-24,ESOP,-,-,0,0,0,0,NA,-,23-08-2024 21:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169169_1231614_23082024090918_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Ruzbeh Irani,Employees/Designated Employees,Equity Shares,83160,0.01,,27806,76747341,Buy,Equity Shares,110966,0.01,23-Aug-24,23-Aug-24,23-Aug-24,ESOP,-,-,0,0,0,0,NA,-,23-08-2024 21:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169169_1231614_23082024090918_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Mahindra & Mahindra Employees' Stock Option Trust,Other,Equity Shares,43808219,3.52,,69639,345140,Sell,Equity Shares,43738580,3.52,23-Aug-24,23-Aug-24,23-Aug-24,ESOP,-,-,0,0,0,0,NA,-,23-08-2024 21:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169169_1231614_23082024090918_WEB.xml
SIGNPOST,Signpost India Limited,7(2),Pramina Suchanti,Promoters,Equity Shares,550000,1.03,,15000,3856963,Sell,Equity Shares,535000,1,22-Aug-24,22-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 20:39,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169167_1231598_23082024083921_WEB.xml
JUBLINGREA,Jubilant Ingrevia Limited,7(2),Jubilant Ingrevia Employees Welfare Trust,Other,Equity Shares,1257944,0.79,,848,542550,Sell,Equity Shares,1257096,0.79,21-Aug-24,21-Aug-24,22-Aug-24,ESOP,-,-,0,0,0,0,NA,-,23-08-2024 20:23,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169165_1231588_23082024082312_WEB.xml
JSWENERGY,JSW Energy Limited,7(2),JSW Energy Employees Welfare Trust,Other,Equity Shares,3037275,0.17,,2409,1679900,Sell,Equity Shares,3034866,0.17,20-Aug-24,20-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 19:26,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169163_1231560_23082024072604_WEB.xml
JSWENERGY,JSW Energy Limited,7(2),JSW Energy Employees Welfare Trust,Other,Equity Shares,2967621,0.17,,26543,18868267,Sell,Equity Shares,2941078,0.17,22-Aug-24,22-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 19:26,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169163_1231560_23082024072604_WEB.xml
JSWENERGY,JSW Energy Limited,7(2),JSW Energy Employees Welfare Trust,Other,Equity Shares,2970663,0.17,,3042,2180337,Sell,Equity Shares,2967621,0.17,21-Aug-24,21-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 19:26,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169163_1231560_23082024072604_WEB.xml
JSWENERGY,JSW Energy Limited,7(2),JSW Energy Employees Welfare Trust,Other,Equity Shares,2941078,0.17,,45089,450890,Sell,Equity Shares,2895989,0.17,22-Aug-24,22-Aug-24,22-Aug-24,ESOP,-,-,0,0,0,0,NA,-,23-08-2024 19:26,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169163_1231560_23082024072604_WEB.xml
JSWENERGY,JSW Energy Limited,7(2),JSW Energy Employees Welfare Trust,Other,Equity Shares,3034866,0.17,,64203,642030,Sell,Equity Shares,2970663,0.17,20-Aug-24,20-Aug-24,22-Aug-24,ESOP,-,-,0,0,0,0,NA,-,23-08-2024 19:26,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169163_1231560_23082024072604_WEB.xml
COOLCAPS,Cool Caps Industries Limited,7(2),RAJEEV TRADING & HOLDINGS PRIVATE LIMITED,Promoter Group,Equity Shares,7250,0.06,,2250,801086,Buy,Equity Shares,9500,0.08,22-Aug-24,22-Aug-24,23-Aug-24,Market Purchase,-,-,0,0,0,0,NSE,-,23-08-2024 19:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169160_1231554_23082024071551_WEB.xml
COOLCAPS,Cool Caps Industries Limited,7(2),RAJEEV TRADING & HOLDINGS PRIVATE LIMITED,Promoter Group,Equity Shares,4000,0.03,,3250,1132110,Buy,Equity Shares,7250,0.06,20-Aug-24,21-Aug-24,22-Aug-24,Market Purchase,-,-,0,0,0,0,NSE,-,23-08-2024 19:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169160_1231554_23082024071551_WEB.xml
ADFFOODS,ADF Foods Limited,7(2),Krish Bhavesh Thakkar,Promoters,Equity Shares,1375000,1.25,,10000,2405958,Sell,Equity Shares,1365000,1.24,20-Aug-24,20-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 19:03,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169158_1231539_23082024070356_WEB.xml
SBCL,Shivalik Bimetal Controls Limited,7(2),SUMER GHUMMAN,Promoters,Equity Shares,1515000,2.63,,2388000,1401636600,Buy,Equity Shares,3903000,6.78,22-Aug-24,22-Aug-24,23-Aug-24,Inter-se-Transfer,-,-,0,0,0,0,NA,-,23-08-2024 18:44,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169156_1231508_23082024064430_WEB.xml
SBCL,Shivalik Bimetal Controls Limited,7(2),O D FINANCE AND INVESTMENT PRIVATE LIMITED,Promoters,Equity Shares,7616171,13.22,,991400,581902230,Buy,Equity Shares,8607571,14.94,22-Aug-24,22-Aug-24,23-Aug-24,Inter-se-Transfer,-,-,0,0,0,0,NA,-,23-08-2024 18:44,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169156_1231508_23082024064430_WEB.xml
SBCL,Shivalik Bimetal Controls Limited,7(2),TSL HOLDINGS PRIVATE LIMITED,Promoters,Equity Shares,3379400,5.87,,3379400,1983538830,Sell,Equity Shares,Nil,0,22-Aug-24,22-Aug-24,23-Aug-24,Inter-se-Transfer,-,-,0,0,0,0,NA,-,23-08-2024 18:44,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169156_1231508_23082024064430_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),JAYESH HINGE,Employees/Designated Employees,Equity Shares,360,0,,160,532918,Sell,Equity Shares,200,0,21-Aug-24,22-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 18:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169154_1231460_23082024061130_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Sanjay Kulshreshtha,Employees/Designated Employees,Equity Shares,1785,0,,250,799838,Sell,Equity Shares,1535,0,12-Aug-24,12-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 18:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169154_1231460_23082024061130_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),JAYESH HINGE,Employees/Designated Employees,Equity Shares,100,0,,100,332050,Buy,Equity Shares,200,0,22-Aug-24,22-Aug-24,22-Aug-24,Market Purchase,-,-,0,0,0,0,BSE,-,23-08-2024 18:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169154_1231460_23082024061130_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),JAYESH HINGE,Employees/Designated Employees,Equity Shares,200,0,,100,331500,Sell,Equity Shares,100,0,22-Aug-24,22-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,BSE,-,23-08-2024 18:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169154_1231460_23082024061130_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Abhishek Maini,Employees/Designated Employees,Equity Shares,Nil,0,,188,1880,Buy,Equity Shares,188,0,20-Aug-24,20-Aug-24,22-Aug-24,ESOP,-,-,0,0,0,0,NA,-,23-08-2024 18:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169154_1231460_23082024061130_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),JAYESH HINGE,Employees/Designated Employees,Equity Shares,Nil,0,,360,3600,Buy,Equity Shares,360,0,20-Aug-24,20-Aug-24,22-Aug-24,ESOP,-,-,0,0,0,0,NA,-,23-08-2024 18:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169154_1231460_23082024061130_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Pushkal Mishra,Employees/Designated Employees,Equity Shares,376,0,,500,485013,Buy,Equity Shares,876,0,13-Aug-24,20-Aug-24,22-Aug-24,ESOP,-,-,0,0,0,0,NA,-,23-08-2024 18:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169154_1231460_23082024061130_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Abhishek Aggarwal,Employees/Designated Employees,Equity Shares,1625,0,,475,1601750,Sell,Equity Shares,1150,0,21-Aug-24,21-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 18:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169154_1231460_23082024061130_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Abhishek Aggarwal,Employees/Designated Employees,Equity Shares,Nil,0,,1625,736269,Buy,Equity Shares,1625,0,20-Aug-24,20-Aug-24,22-Aug-24,ESOP,-,-,0,0,0,0,NA,-,23-08-2024 18:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169154_1231460_23082024061130_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Sanjay Kulshreshtha,Employees/Designated Employees,Equity Shares,1535,0,,200,386010,Buy,Equity Shares,1735,0,20-Aug-24,20-Aug-24,22-Aug-24,ESOP,-,-,0,0,0,0,NA,-,23-08-2024 18:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169154_1231460_23082024061130_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Manoj Kumar Garg,Employees/Designated Employees,Equity Shares,29200,0.04,,500,1662500,Sell,Equity Shares,28700,0.03,20-Aug-24,20-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 18:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169154_1231460_23082024061130_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Abhishek Maini,Employees/Designated Employees,Equity Shares,188,0,,188,619456,Sell,Equity Shares,Nil,0,21-Aug-24,21-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 18:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169154_1231460_23082024061130_WEB.xml
ZOTA,Zota Health Care LImited,7(2),NIRMALABEN A SHAH,Promoter Group,Equity Shares,1000,0,,10000,6575000,Buy,Equity Shares,11000,0.04,19-Aug-24,19-Aug-24,22-Aug-24,Gift,-,-,0,0,0,0,NSE,-,23-08-2024 18:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169153_1231454_23082024060953_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,7694448,0.31,,7050,6450096,Sell,Equity Shares,7687398,0.31,20-Aug-24,20-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 18:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169152_1231452_23082024060937_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,7715804,0.32,,21356,21356,Sell,Equity Shares,7694448,0.31,19-Aug-24,19-Aug-24,21-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 18:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169152_1231452_23082024060937_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  ESOP Plan 2016 A/c,Other,Equity Shares,7748467,0.32,,3378,3087634,Sell,Equity Shares,7745089,0.32,19-Aug-24,19-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 18:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169152_1231452_23082024060937_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,7685369,0.31,,55420,55420,Sell,Equity Shares,7629949,0.31,20-Aug-24,20-Aug-24,22-Aug-24,Off Market,-,-,0,0,0,0,NA,-,23-08-2024 18:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169152_1231452_23082024060937_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,7687398,0.31,,2029,1856325,Sell,Equity Shares,7685369,0.31,20-Aug-24,20-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 18:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169152_1231452_23082024060937_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,7745089,0.32,,13677,12487975,Sell,Equity Shares,7731412,0.32,19-Aug-24,19-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 18:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169152_1231452_23082024060937_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,7731412,0.32,,15608,14248325,Sell,Equity Shares,7715804,0.32,19-Aug-24,19-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 18:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169152_1231452_23082024060937_WEB.xml
ZOTA,Zota Health Care LImited,7(2),MANUKANT CHANDULAL ZOTA,Promoters,Equity Shares,2182070,7.96,,10000,6575000,Sell,Equity Shares,2172070,7.92,19-Aug-24,19-Aug-24,22-Aug-24,Inter-se-Transfer,-,-,0,0,0,0,NSE,-,23-08-2024 18:09,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169151_1231450_23082024060921_WEB.xml
GEOJITFSL,Geojit Financial Services Limited,7(2),Jaya Jacob Alexander,Employees/Designated Employees,Equity Shares,182975,0.08,,44975,5143493,Sell,Equity Shares,138000,0.06,22-Aug-24,22-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 18:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169148_1231444_23082024060632_WEB.xml
DMART,Avenue Supermarts Limited,7(2),VISHAL PANKAJ SHETH,-,Equity Shares,4600,0,,3000,15300000,Sell,Equity Shares,1600,0,21-Aug-24,21-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 18:03,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169146_1231438_23082024060339_WEB.xml
DMART,Avenue Supermarts Limited,7(2),SHYAM BABAJI NAIK,-,Equity Shares,1600,0,,260,1328600,Sell,Equity Shares,1340,0,22-Aug-24,22-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 18:03,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169146_1231438_23082024060339_WEB.xml
DMART,Avenue Supermarts Limited,7(2),ELVIN ELIAS MACHADO,Director,Equity Shares,317000,0.05,,2000,10200317,Sell,Equity Shares,315000,0.05,21-Aug-24,21-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 18:03,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169146_1231438_23082024060339_WEB.xml
KRITIKA,Kritika Wires Limited,7(2),Alltime Suppliers Pvt Ltd,Promoter Group,Equity Shares,14700000,5.52,,482156,9151320,Sell,Equity Shares,14217844,5.34,21-Aug-24,21-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:57,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169144_1231425_23082024055742_WEB.xml
KRITIKA,Kritika Wires Limited,7(2),Mohta Agencies Private Limited,Promoter Group,Equity Shares,11400000,4.28,,500000,9507500,Sell,Equity Shares,10900000,4.09,21-Aug-24,21-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:57,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169144_1231425_23082024055742_WEB.xml
KRITIKA,Kritika Wires Limited,7(2),Hanuman Prasad Agarwal,-,Equity Shares,18087360,6.79,,249573,4751299,Sell,Equity Shares,17837787,6.7,21-Aug-24,21-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:57,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169144_1231425_23082024055742_WEB.xml
NRBBEARING,NRB Bearing Limited,7(2),HARSHBEENA SAHNEY ZAVERI,Promoters,Equity Shares,11467826,11.83,,6833,2150703,Buy,Equity Shares,11474659,11.84,19-Aug-24,19-Aug-24,21-Aug-24,Market Purchase,-,-,0,0,0,0,NSE,-,23-08-2024 17:56,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169143_1231420_23082024055628_WEB.xml
NRBBEARING,NRB Bearing Limited,7(2),HARSHBEENA SAHNEY ZAVERI,Promoters,Equity Shares,11491329,11.86,,7571,2431845,Buy,Equity Shares,11498900,11.86,21-Aug-24,21-Aug-24,21-Aug-24,Market Purchase,-,-,0,0,0,0,NSE,-,23-08-2024 17:56,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169143_1231420_23082024055628_WEB.xml
NRBBEARING,NRB Bearing Limited,7(2),HARSHBEENA SAHNEY ZAVERI,Promoters,Equity Shares,11474659,11.84,,16670,5318746,Buy,Equity Shares,11491329,11.86,20-Aug-24,20-Aug-24,21-Aug-24,Market Purchase,-,-,0,0,0,0,NSE,-,23-08-2024 17:56,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169143_1231420_23082024055628_WEB.xml
INFIBEAM,Infibeam Avenues Limited,7(2),Jinal Sutariya,-,Equity Shares,870000,0.03,,90000,2893900,Sell,Equity Shares,780000,0.03,21-Aug-24,23-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:47,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169141_1231402_23082024054707_WEB.xml
PANACEABIO,Panacea Biotec Limited,7(2),Sandeep Jain,Promoters,Equity Shares,9923726,16.2,,4940,995169,Sell,Equity Shares,9918786,16.19,21-Aug-24,21-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:44,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169139_1231394_23082024054439_WEB.xml
SAPPHIRE,Sapphire Foods India Limited,7(2),Sagista Realty Advisors Private Limited (as Trustee of QSR Management Trust),Promoters,Equity Shares,1915681,3,,2491,3991715,Sell,Equity Shares,1913190,3,21-Aug-24,21-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:40,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169135_1231383_23082024054030_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Endeavour Holding Trust,Promoter Group,Equity Shares,8101676,6.26,,60,451800,Sell,Equity Shares,8101616,6.26,22-Aug-24,22-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:23,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169133_1231352_23082024052345_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Hitesh Oberoi,Promoters,Equity Shares,6442803,4.98,,1110,8324900,Sell,Equity Shares,6441693,4.98,22-Aug-24,22-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:23,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169133_1231352_23082024052345_WEB.xml
LTTS,L&T Technology Services Limited,7(2),Jagyan Prakash Mishra,Employees/Designated Employees,Equity Shares,1500,0,,800,4390640,Pledge Revoke,Equity Shares,1500,0,23-Aug-24,23-Aug-24,23-Aug-24,Revokation of Pledge,-,-,0,0,0,0,NA,-,23-08-2024 17:10,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169129_1231325_23082024051038_WEB.xml
LTTS,L&T Technology Services Limited,7(2),Sachin Murlidhar Kulkarni,Employees/Designated Employees,Equity Shares,9975,0.01,,1400,7683774,Sell,Equity Shares,8575,0.01,22-Aug-24,22-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:10,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169129_1231325_23082024051038_WEB.xml
LTTS,L&T Technology Services Limited,7(2),Jagyan Prakash Mishra,Employees/Designated Employees,Equity Shares,1500,0,,700,3815700,Sell,Equity Shares,800,0,23-Aug-24,23-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:10,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169129_1231325_23082024051038_WEB.xml
SHALPAINTS,Shalimar Paints Limited,7(3),Veera Gupta,-,Equity Shares,1724527,2.06,,50000,7013000,Sell,Equity Shares,1674527,2,22-Aug-24,22-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:08,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169127_1231316_23082024050829_WEB.xml
SHALPAINTS,Shalimar Paints Limited,7(3),Veera Gupta,-,Equity Shares,2040527,2.44,,316000,43543200,Sell,Equity Shares,1724527,2.06,19-Aug-24,21-Aug-24,21-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:08,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169127_1231316_23082024050829_WEB.xml
SHOPERSTOP,Shoppers Stop Limited,7(2),Shwetal Basu,Employees/Designated Employees,Equity Shares,1138,0,,1138,922190,Sell,Equity Shares,Nil,0,21-Aug-24,21-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:05,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169126_1231309_23082024050546_WEB.xml
SHOPERSTOP,Shoppers Stop Limited,7(2),BIJU KASSIM,Employees/Designated Employees,Equity Shares,17969,0.02,,8000,6424320,Pledge Revoke,Equity Shares,17969,0.02,21-Aug-24,21-Aug-24,22-Aug-24,Revokation of Pledge,-,-,0,0,0,0,NA,-,23-08-2024 17:01,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169123_1231297_23082024050158_WEB.xml
SHOPERSTOP,Shoppers Stop Limited,7(2),Sreekanth Chetlur,Employees/Designated Employees,Equity Shares,2641,0,,2641,2110441,Sell,Equity Shares,Nil,0,21-Aug-24,21-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:01,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169123_1231297_23082024050158_WEB.xml
SHOPERSTOP,Shoppers Stop Limited,7(2),BIJU KASSIM,Employees/Designated Employees,Equity Shares,17969,0.02,,8000,6424320,Sell,Equity Shares,9969,0.02,21-Aug-24,21-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:01,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169123_1231297_23082024050158_WEB.xml
SHOPERSTOP,Shoppers Stop Limited,7(2),Amreen Rehman,Employees/Designated Employees,Equity Shares,1542,0,,1542,1234936,Sell,Equity Shares,Nil,0,21-Aug-24,21-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:01,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169123_1231297_23082024050158_WEB.xml
SHOPERSTOP,Shoppers Stop Limited,7(2),Shwetal Basu,Employees/Designated Employees,Equity Shares,1638,0,,500,391500,Sell,Equity Shares,1138,0,21-Aug-24,21-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 17:01,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169123_1231297_23082024050158_WEB.xml
LALPATHLAB,Dr. Lal Path Labs Ltd.,7(2),Om Prakash Manchanda,Director,Equity Shares,910000,1.09,,16000,53065742,Sell,Equity Shares,894000,1.07,21-Aug-24,23-Aug-24,23-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 16:45,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169120_1231276_23082024044507_WEB.xml
NAVINFLUOR,Navin Fluorine International Limited,7(2),Mafatlal Impex Private Limited,Promoters,Equity Shares,13036149,26.29,,300000,500190000,Pledge Revoke,Equity Shares,13036149,26.29,22-Aug-24,22-Aug-24,23-Aug-24,Revokation of Pledge,-,-,0,0,0,0,NA,-,23-08-2024 16:31,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169118_1231258_23082024043146_WEB.xml
PIDILITIND,Pidilite Industries Limited,7(2),Rashmikant Himatlal Parekh,Promoter Group,Equity Shares,3217336,0.63,,10000,30651753,Sell,Equity Shares,3207336,0.63,21-Aug-24,21-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 16:27,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169116_1231252_23082024042702_WEB.xml
PRUDMOULI,Prudential Sugar Corporation Limited,7(2),VAB VENTURES LIMITED,Promoter Group,Equity Shares,10477599,32.49,,205053,10,Sell,Equity Shares,10272546,31.85,21-Aug-24,21-Aug-24,22-Aug-24,Market Sale,-,-,0,0,0,0,NSE,-,23-08-2024 16:24,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169114_1231247_23082024042406_WEB.xml
